日期,计划ID,计划名称,计划类型,品类,展现量,点击量,点击率,花费,平均点击花费,直接支付订单数,直接支付金额,间接支付订单数,间接支付金额,ROI
2025-07-01,camp_淘_000,美妆爆款-精准人群,搜索推广,美妆,145093,6187,0.0426,4442.76,0.72,57,6972.12,7,817.37,1.75
2025-07-01,camp_淘_001,美妆新品-信息流,信息流,美妆,130134,4776,0.0367,3668.05,0.77,55,6136.65,10,1263.19,2.02
2025-07-01,camp_淘_002,食品特卖-直播推广,直播推广,食品,149754,3221,0.0215,2023.58,0.63,29,1333.08,3,147.94,0.73
2025-07-01,camp_淘_003,电子数码-智能推荐,信息流,电子,107531,2036,0.0189,2319.13,1.14,41,12701.93,5,1737.74,6.23
2025-07-01,camp_淘_004,电子旗舰-搜索推广,搜索推广,电子,97612,3180,0.0326,2915.74,0.92,62,22035.42,7,2666.06,8.47
2025-07-01,camp_淘_005,服装上新-信息流,信息流,服装,111114,2381,0.0214,1790.49,0.75,32,6174.95,6,1135.32,4.08
2025-07-01,camp_淘_006,服装大促-搜索推广,搜索推广,服装,141119,4218,0.0299,2208.92,0.52,93,20413.4,19,2886.77,10.55
2025-07-01,camp_淘_007,食品健康-搜索推广,搜索推广,食品,64756,1467,0.0227,879.95,0.6,32,1547.41,9,466.29,2.29
2025-07-02,camp_淘_000,美妆爆款-精准人群,搜索推广,美妆,80471,1719,0.0214,2039.22,1.19,23,2672.04,3,449.04,1.53
2025-07-02,camp_淘_001,美妆新品-信息流,信息流,美妆,139603,5034,0.0361,2748.14,0.55,71,9027.54,14,1755.27,3.92
2025-07-02,camp_淘_002,食品特卖-直播推广,直播推广,食品,52559,2049,0.039,1314.74,0.64,45,2256.22,5,216.21,1.88
2025-07-02,camp_淘_003,电子数码-智能推荐,信息流,电子,68268,1340,0.0196,740.76,0.55,21,6862.5,3,1014.93,10.63
2025-07-02,camp_淘_004,电子旗舰-搜索推广,搜索推广,电子,133522,5871,0.044,5210.12,0.89,55,20287.93,13,5226.91,4.9
2025-07-02,camp_淘_005,服装上新-信息流,信息流,服装,94504,2472,0.0262,1423.79,0.58,19,3750.91,2,365.18,2.89
2025-07-02,camp_淘_006,服装大促-搜索推广,搜索推广,服装,102077,3387,0.0332,1371.54,0.4,62,8707.82,13,2033.2,7.83
2025-07-02,camp_淘_007,食品健康-搜索推广,搜索推广,食品,99072,2380,0.024,995.43,0.42,49,2252.23,10,399.35,2.66
2025-07-03,camp_淘_000,美妆爆款-精准人群,搜索推广,美妆,62794,2115,0.0337,2121.9,1.0,44,4958.1,12,1566.46,3.07
2025-07-03,camp_淘_001,美妆新品-信息流,信息流,美妆,72304,1503,0.0208,1769.46,1.18,28,3808.57,8,1013.48,2.73
2025-07-03,camp_淘_002,食品特卖-直播推广,直播推广,食品,72209,2775,0.0384,2747.28,0.99,30,1252.17,7,304.12,0.57
2025-07-03,camp_淘_003,电子数码-智能推荐,信息流,电子,84359,3550,0.0421,3358.74,0.95,85,29778.61,16,5285.8,10.44
2025-07-03,camp_淘_004,电子旗舰-搜索推广,搜索推广,电子,96592,4107,0.0425,4354.33,1.06,102,33734.87,11,3292.38,8.5
2025-07-03,camp_淘_005,服装上新-信息流,信息流,服装,135379,2557,0.0189,2617.62,1.02,37,7630.67,8,1488.45,3.48
2025-07-03,camp_淘_006,服装大促-搜索推广,搜索推广,服装,58512,1285,0.022,946.0,0.74,19,3274.26,4,673.23,4.17
2025-07-03,camp_淘_007,食品健康-搜索推广,搜索推广,食品,85506,2346,0.0274,2211.3,0.94,27,1284.12,6,262.58,0.7
2025-07-04,camp_淘_000,美妆爆款-精准人群,搜索推广,美妆,108671,4343,0.04,3763.7,0.87,61,8097.97,15,1950.43,2.67
2025-07-04,camp_淘_001,美妆新品-信息流,信息流,美妆,108892,3546,0.0326,1514.64,0.43,87,11522.17,21,2734.99,9.41
2025-07-04,camp_淘_002,食品特卖-直播推广,直播推广,食品,62526,2091,0.0335,2485.96,1.19,43,2332.25,6,290.38,1.05
2025-07-04,camp_淘_003,电子数码-智能推荐,信息流,电子,79770,3134,0.0393,1571.7,0.5,42,15086.11,5,2097.95,10.93
2025-07-04,camp_淘_004,电子旗舰-搜索推广,搜索推广,电子,146388,5228,0.0357,4304.58,0.82,70,25216.2,10,3246.6,6.61
2025-07-04,camp_淘_005,服装上新-信息流,信息流,服装,84843,1677,0.0198,1441.26,0.86,14,2348.08,2,349.98,1.87
2025-07-04,camp_淘_006,服装大促-搜索推广,搜索推广,服装,101323,3511,0.0347,4107.42,1.17,54,8121.63,8,1517.52,2.35
2025-07-04,camp_淘_007,食品健康-搜索推广,搜索推广,食品,68831,1571,0.0228,1803.07,1.15,37,1407.34,7,325.52,0.96
2025-07-05,camp_淘_000,美妆爆款-精准人群,搜索推广,美妆,96165,1904,0.0198,1633.88,0.86,36,4006.11,6,781.8,2.93
2025-07-05,camp_淘_001,美妆新品-信息流,信息流,美妆,148226,6315,0.0426,5418.53,0.86,64,9218.32,11,1348.58,1.95
2025-07-05,camp_淘_002,食品特卖-直播推广,直播推广,食品,104095,2932,0.0282,2499.32,0.85,57,2642.2,13,601.67,1.3
2025-07-05,camp_淘_003,电子数码-智能推荐,信息流,电子,80699,3112,0.0386,1974.83,0.63,68,20940.02,13,4432.28,12.85
2025-07-05,camp_淘_004,电子旗舰-搜索推广,搜索推广,电子,120316,3881,0.0323,3017.02,0.78,42,11332.92,6,1852.19,4.37
2025-07-05,camp_淘_005,服装上新-信息流,信息流,服装,61150,2576,0.0421,1964.58,0.76,30,5023.94,3,592.06,2.86
2025-07-05,camp_淘_006,服装大促-搜索推广,搜索推广,服装,82425,1915,0.0232,1334.79,0.7,33,5754.26,6,891.67,4.98
2025-07-05,camp_淘_007,食品健康-搜索推广,搜索推广,食品,138921,6007,0.0432,2529.36,0.42,70,3035.4,10,467.26,1.38
2025-07-06,camp_淘_000,美妆爆款-精准人群,搜索推广,美妆,56072,2491,0.0444,1019.78,0.41,33,3841.35,3,431.4,4.19
2025-07-06,camp_淘_001,美妆新品-信息流,信息流,美妆,83250,1883,0.0226,1618.45,0.86,29,3722.22,3,384.61,2.54
2025-07-06,camp_淘_002,食品特卖-直播推广,直播推广,食品,115587,3185,0.0276,1778.04,0.56,70,2827.69,8,352.58,1.79
2025-07-06,camp_淘_003,电子数码-智能推荐,信息流,电子,86781,2638,0.0304,2520.5,0.96,62,22635.74,11,3896.21,10.53
2025-07-06,camp_淘_004,电子旗舰-搜索推广,搜索推广,电子,104246,4608,0.0442,4799.48,1.04,63,26146.87,13,4361.48,6.36
2025-07-06,camp_淘_005,服装上新-信息流,信息流,服装,90165,1771,0.0196,1191.92,0.67,39,7893.28,9,1732.25,8.08
2025-07-06,camp_淘_006,服装大促-搜索推广,搜索推广,服装,75440,3356,0.0445,1906.87,0.57,37,7213.04,7,1344.16,4.49
2025-07-06,camp_淘_007,食品健康-搜索推广,搜索推广,食品,56392,2368,0.042,1107.13,0.47,52,2397.05,10,367.02,2.5
2025-07-07,camp_淘_000,美妆爆款-精准人群,搜索推广,美妆,56801,1445,0.0255,660.54,0.46,35,4929.06,5,494.98,8.21
2025-07-07,camp_淘_001,美妆新品-信息流,信息流,美妆,131349,5804,0.0442,6654.36,1.15,60,7060.23,7,820.15,1.18
2025-07-07,camp_淘_002,食品特卖-直播推广,直播推广,食品,123553,2606,0.0211,1243.86,0.48,32,1546.94,7,300.23,1.49
2025-07-07,camp_淘_003,电子数码-智能推荐,信息流,电子,107572,1939,0.018,1337.69,0.69,43,14912.95,8,2565.3,13.07
2025-07-07,camp_淘_004,电子旗舰-搜索推广,搜索推广,电子,120700,2394,0.0198,1505.94,0.63,21,7058.84,2,602.86,5.09
2025-07-07,camp_淘_005,服装上新-信息流,信息流,服装,145645,3176,0.0218,2274.57,0.72,75,12734.07,8,1394.53,6.21
2025-07-07,camp_淘_006,服装大促-搜索推广,搜索推广,服装,93060,1741,0.0187,2052.69,1.18,30,5687.53,6,1233.48,3.37
2025-07-07,camp_淘_007,食品健康-搜索推广,搜索推广,食品,55512,1924,0.0347,1925.79,1.0,43,2080.91,11,477.64,1.33
2025-07-08,camp_淘_000,美妆爆款-精准人群,搜索推广,美妆,85482,1847,0.0216,921.68,0.5,26,3169.3,5,567.49,4.05
