日期,品类,流量来源,访客数,浏览量,平均停留时长(秒),跳失率,加购人数,支付买家数,支付转化率,支付订单数,支付金额,支付件数,退款订单数,退款金额,客单价,件单价
2025-07-01,服装,付费推广,2012,4948,57.9,0.4016,358,64,0.0318,223,40859.77,320,7,1181.92,183.23,127.69
2025-07-01,服装,推荐,1598,4670,96.6,0.4312,209,47,0.0294,223,40859.77,320,7,1181.92,183.23,127.69
2025-07-01,服装,直接访问,791,2087,91.1,0.3214,152,29,0.0367,223,40859.77,320,7,1181.92,183.23,127.69
2025-07-01,服装,直播,1151,3341,62.0,0.502,213,28,0.0243,223,40859.77,320,7,1181.92,183.23,127.69
2025-07-01,服装,自然搜索,2480,7919,52.5,0.3255,346,82,0.0331,223,40859.77,320,7,1181.92,183.23,127.69
2025-07-01,电子,付费推广,1377,3763,105.3,0.4135,186,32,0.0232,133,44421.91,175,6,1785.99,334.0,253.84
2025-07-01,电子,推荐,984,2487,91.7,0.3915,160,24,0.0244,133,44421.91,175,6,1785.99,334.0,253.84
2025-07-01,电子,直接访问,565,1627,59.0,0.4342,73,15,0.0265,133,44421.91,175,6,1785.99,334.0,253.84
2025-07-01,电子,直播,767,2070,102.4,0.3681,144,19,0.0248,133,44421.91,175,6,1785.99,334.0,253.84
2025-07-01,电子,自然搜索,1620,5420,101.8,0.3217,316,34,0.021,133,44421.91,175,6,1785.99,334.0,253.84
2025-07-01,美妆,付费推广,2332,7334,63.1,0.3167,427,82,0.0352,291,37604.35,355,21,2497.22,129.22,105.93
2025-07-01,美妆,推荐,1764,5948,112.2,0.415,306,66,0.0374,291,37604.35,355,21,2497.22,129.22,105.93
2025-07-01,美妆,直接访问,891,2178,117.7,0.3671,164,33,0.037,291,37604.35,355,21,2497.22,129.22,105.93
2025-07-01,美妆,直播,1439,3212,75.6,0.5104,268,51,0.0354,291,37604.35,355,21,2497.22,129.22,105.93
2025-07-01,美妆,自然搜索,2765,9122,85.6,0.3582,508,106,0.0383,291,37604.35,355,21,2497.22,129.22,105.93
2025-07-01,食品,付费推广,1598,4732,102.8,0.5388,198,65,0.0407,269,11914.28,355,15,588.89,44.29,33.56
2025-07-01,食品,推荐,1236,3839,89.3,0.3015,189,44,0.0356,269,11914.28,355,15,588.89,44.29,33.56
2025-07-01,食品,直接访问,583,1950,99.5,0.53,73,29,0.0497,269,11914.28,355,15,588.89,44.29,33.56
2025-07-01,食品,直播,905,2371,90.4,0.3387,121,46,0.0508,269,11914.28,355,15,588.89,44.29,33.56
2025-07-01,食品,自然搜索,1932,5513,80.9,0.3835,254,86,0.0445,269,11914.28,355,15,588.89,44.29,33.56
2025-07-02,服装,付费推广,1991,6001,59.3,0.4937,389,58,0.0291,244,44452.38,361,11,1992.69,182.18,123.14
2025-07-02,服装,推荐,1467,4405,112.3,0.3676,288,45,0.0307,244,44452.38,361,11,1992.69,182.18,123.14
2025-07-02,服装,直接访问,789,2267,72.0,0.4452,123,25,0.0317,244,44452.38,361,11,1992.69,182.18,123.14
2025-07-02,服装,直播,1060,3618,102.8,0.3548,188,35,0.033,244,44452.38,361,11,1992.69,182.18,123.14
2025-07-02,服装,自然搜索,2208,6784,84.1,0.4846,293,71,0.0322,244,44452.38,361,11,1992.69,182.18,123.14
2025-07-02,电子,付费推广,1240,2773,100.4,0.5296,190,32,0.0258,137,47612.55,176,4,1205.98,347.54,270.53
2025-07-02,电子,推荐,991,3072,87.4,0.5199,128,26,0.0262,137,47612.55,176,4,1205.98,347.54,270.53
2025-07-02,电子,直接访问,533,1506,69.5,0.3811,66,13,0.0244,137,47612.55,176,4,1205.98,347.54,270.53
2025-07-02,电子,直播,799,1956,113.6,0.5011,128,19,0.0238,137,47612.55,176,4,1205.98,347.54,270.53
2025-07-02,电子,自然搜索,1469,3616,92.9,0.3654,288,35,0.0238,137,47612.55,176,4,1205.98,347.54,270.53
2025-07-02,美妆,付费推广,2211,6721,64.4,0.4218,268,96,0.0434,345,44595.53,439,25,2933.83,129.26,101.58
2025-07-02,美妆,推荐,1669,5413,116.0,0.4301,321,65,0.0389,345,44595.53,439,25,2933.83,129.26,101.58
2025-07-02,美妆,直接访问,935,3003,92.1,0.3086,121,34,0.0364,345,44595.53,439,25,2933.83,129.26,101.58
2025-07-02,美妆,直播,1458,4206,83.9,0.4226,283,51,0.035,345,44595.53,439,25,2933.83,129.26,101.58
2025-07-02,美妆,自然搜索,2583,7189,96.5,0.496,421,96,0.0372,345,44595.53,439,25,2933.83,129.26,101.58
2025-07-02,食品,付费推广,1500,3656,101.7,0.3839,246,80,0.0533,287,12788.05,393,20,866.33,44.56,32.54
2025-07-02,食品,推荐,1236,3713,114.6,0.4723,157,52,0.0421,287,12788.05,393,20,866.33,44.56,32.54
2025-07-02,食品,直接访问,555,1478,108.5,0.3109,92,24,0.0432,287,12788.05,393,20,866.33,44.56,32.54
2025-07-02,食品,直播,947,2616,95.4,0.3046,150,46,0.0486,287,12788.05,393,20,866.33,44.56,32.54
2025-07-02,食品,自然搜索,1685,4506,93.6,0.3186,260,75,0.0445,287,12788.05,393,20,866.33,44.56,32.54
2025-07-03,服装,付费推广,1657,3803,100.1,0.4673,298,56,0.0338,239,43975.48,378,17,2686.58,184.0,116.34
2025-07-03,服装,推荐,1426,3799,111.0,0.3856,250,49,0.0344,239,43975.48,378,17,2686.58,184.0,116.34
2025-07-03,服装,直接访问,751,2200,86.9,0.4294,143,20,0.0266,239,43975.48,378,17,2686.58,184.0,116.34
2025-07-03,服装,直播,1065,3232,93.5,0.4945,131,36,0.0338,239,43975.48,378,17,2686.58,184.0,116.34
2025-07-03,服装,自然搜索,2146,5279,91.4,0.3181,312,62,0.0289,239,43975.48,378,17,2686.58,184.0,116.34
2025-07-03,电子,付费推广,1236,3628,95.5,0.5224,199,32,0.0259,124,43355.04,162,3,974.54,349.64,267.62
2025-07-03,电子,推荐,890,3096,93.6,0.3141,130,21,0.0236,124,43355.04,162,3,974.54,349.64,267.62
2025-07-03,电子,直接访问,417,1161,80.7,0.3657,61,10,0.024,124,43355.04,162,3,974.54,349.64,267.62
2025-07-03,电子,直播,683,2302,84.2,0.4508,122,15,0.022,124,43355.04,162,3,974.54,349.64,267.62
2025-07-03,电子,自然搜索,1369,3582,118.0,0.4095,245,32,0.0234,124,43355.04,162,3,974.54,349.64,267.62
2025-07-03,美妆,付费推广,2111,5878,106.7,0.4839,342,80,0.0379,329,43300.24,407,15,1684.05,131.61,106.39
2025-07-03,美妆,推荐,1784,4052,102.2,0.3021,235,72,0.0404,329,43300.24,407,15,1684.05,131.61,106.39
2025-07-03,美妆,直接访问,768,2269,114.2,0.4764,136,22,0.0286,329,43300.24,407,15,1684.05,131.61,106.39
2025-07-03,美妆,直播,1275,2992,85.0,0.5235,226,41,0.0322,329,43300.24,407,15,1684.05,131.61,106.39
2025-07-03,美妆,自然搜索,2570,8813,96.3,0.4162,392,92,0.0358,329,43300.24,407,15,1684.05,131.61,106.39
2025-07-03,食品,付费推广,1481,4262,58.2,0.5476,283,69,0.0466,303,13536.99,459,16,654.34,44.68,29.49
2025-07-03,食品,推荐,1059,3128,63.2,0.4562,183,46,0.0434,303,13536.99,459,16,654.34,44.68,29.49
2025-07-03,食品,直接访问,548,1356,62.5,0.5255,79,26,0.0474,303,13536.99,459,16,654.34,44.68,29.49
2025-07-03,食品,直播,800,1772,69.7,0.467,159,38,0.0475,303,13536.99,459,16,654.34,44.68,29.49
2025-07-03,食品,自然搜索,1530,3604,97.3,0.4044,249,80,0.0523,303,13536.99,459,16,654.34,44.68,29.49
2025-07-04,服装,付费推广,1575,3659,115.5,0.43,219,46,0.0292,256,44095.06,394,16,2294.56,172.25,111.92
2025-07-04,服装,推荐,1353,3533,54.6,0.3478,224,38,0.0281,256,44095.06,394,16,2294.56,172.25,111.92
2025-07-04,服装,直接访问,681,2327,96.5,0.3638,102,23,0.0338,256,44095.06,394,16,2294.56,172.25,111.92
2025-07-04,服装,直播,1012,3375,73.5,0.3518,153,30,0.0296,256,44095.06,394,16,2294.56,172.25,111.92
2025-07-04,服装,自然搜索,1997,6049,66.5,0.4826,285,72,0.0361,256,44095.06,394,16,2294.56,172.25,111.92
2025-07-04,电子,付费推广,1022,2651,87.4,0.506,143,24,0.0235,131,44133.67,189,8,2180.57,336.9,233.51
2025-07-04,电子,推荐,883,2404,76.3,0.3908,139,21,0.0238,131,44133.67,189,8,2180.57,336.9,233.51
