日期,品类,流量来源,访客数,浏览量,平均停留时长(秒),跳失率,加购人数,支付买家数,支付转化率,支付订单数,支付金额,支付件数,退款订单数,退款金额,客单价,件单价
2025-07-01,服装,付费推广,2529,6197,103.7,0.3515,357,66,0.0261,214,26527.17,283,9,1055.3,123.96,93.74
2025-07-01,服装,推荐,1992,4769,115.1,0.3959,382,34,0.0171,214,26527.17,283,9,1055.3,123.96,93.74
2025-07-01,服装,直接访问,1023,3442,50.3,0.38,188,27,0.0264,214,26527.17,283,9,1055.3,123.96,93.74
2025-07-01,服装,直播,1482,4157,115.2,0.3517,289,34,0.0229,214,26527.17,283,9,1055.3,123.96,93.74
2025-07-01,服装,自然搜索,3077,7101,73.8,0.514,521,77,0.025,214,26527.17,283,9,1055.3,123.96,93.74
2025-07-01,电子,付费推广,1675,5033,55.0,0.3567,281,26,0.0155,114,32770.11,171,3,751.72,287.46,191.64
2025-07-01,电子,推荐,1412,3611,113.6,0.5394,177,26,0.0184,114,32770.11,171,3,751.72,287.46,191.64
2025-07-01,电子,直接访问,630,1822,77.5,0.3449,90,12,0.019,114,32770.11,171,3,751.72,287.46,191.64
2025-07-01,电子,直播,1121,3790,51.4,0.3818,204,15,0.0134,114,32770.11,171,3,751.72,287.46,191.64
2025-07-01,电子,自然搜索,1895,5429,113.3,0.3391,366,33,0.0174,114,32770.11,171,3,751.72,287.46,191.64
2025-07-01,美妆,付费推广,3353,8628,53.8,0.3888,667,71,0.0212,257,21786.56,393,12,870.97,84.77,55.44
2025-07-01,美妆,推荐,2959,9606,71.2,0.3996,550,66,0.0223,257,21786.56,393,12,870.97,84.77,55.44
2025-07-01,美妆,直接访问,1310,3677,117.3,0.3782,187,32,0.0244,257,21786.56,393,12,870.97,84.77,55.44
2025-07-01,美妆,直播,2033,5802,101.0,0.5187,295,52,0.0256,257,21786.56,393,12,870.97,84.77,55.44
2025-07-01,美妆,自然搜索,3941,9248,94.5,0.3412,747,84,0.0213,257,21786.56,393,12,870.97,84.77,55.44
2025-07-01,食品,付费推广,2949,9322,104.2,0.313,428,84,0.0285,339,11912.85,416,26,872.05,35.14,28.64
2025-07-01,食品,推荐,2418,8021,118.3,0.5414,390,83,0.0343,339,11912.85,416,26,872.05,35.14,28.64
2025-07-01,食品,直接访问,1049,3413,64.9,0.469,142,43,0.041,339,11912.85,416,26,872.05,35.14,28.64
2025-07-01,食品,直播,1506,4870,59.2,0.3589,238,48,0.0319,339,11912.85,416,26,872.05,35.14,28.64
2025-07-01,食品,自然搜索,3042,7129,82.5,0.4083,418,96,0.0316,339,11912.85,416,26,872.05,35.14,28.64
2025-07-02,服装,付费推广,2693,6011,54.3,0.3406,383,68,0.0253,250,31176.43,324,8,977.14,124.71,96.22
2025-07-02,服装,推荐,2122,5784,117.9,0.3439,368,46,0.0217,250,31176.43,324,8,977.14,124.71,96.22
2025-07-02,服装,直接访问,1066,2933,67.8,0.5063,166,25,0.0235,250,31176.43,324,8,977.14,124.71,96.22
2025-07-02,服装,直播,1692,5231,54.6,0.4727,236,48,0.0284,250,31176.43,324,8,977.14,124.71,96.22
2025-07-02,服装,自然搜索,3028,7034,70.0,0.406,599,80,0.0264,250,31176.43,324,8,977.14,124.71,96.22
2025-07-02,电子,付费推广,1982,6175,83.6,0.3933,372,42,0.0212,114,31611.59,176,4,1033.75,277.29,179.61
2025-07-02,电子,推荐,1514,3526,86.9,0.4007,191,24,0.0159,114,31611.59,176,4,1033.75,277.29,179.61
2025-07-02,电子,直接访问,750,1736,62.2,0.5468,115,13,0.0173,114,31611.59,176,4,1033.75,277.29,179.61
2025-07-02,电子,直播,1104,3259,113.1,0.4685,149,15,0.0136,114,31611.59,176,4,1033.75,277.29,179.61
2025-07-02,电子,自然搜索,2066,6587,116.2,0.3493,410,36,0.0174,114,31611.59,176,4,1033.75,277.29,179.61
2025-07-02,美妆,付费推广,3124,8351,69.2,0.5219,482,62,0.0198,292,25595.47,352,16,1185.52,87.66,72.71
2025-07-02,美妆,推荐,2270,7847,54.6,0.5473,338,40,0.0176,292,25595.47,352,16,1185.52,87.66,72.71
2025-07-02,美妆,直接访问,1137,3469,116.4,0.3615,176,25,0.022,292,25595.47,352,16,1185.52,87.66,72.71
2025-07-02,美妆,直播,1706,5779,70.8,0.4973,318,38,0.0223,292,25595.47,352,16,1185.52,87.66,72.71
2025-07-02,美妆,自然搜索,3462,9834,118.5,0.3396,459,77,0.0222,292,25595.47,352,16,1185.52,87.66,72.71
2025-07-02,食品,付费推广,2301,6777,86.3,0.3881,449,84,0.0365,365,12956.5,494,28,822.48,35.5,26.23
2025-07-02,食品,推荐,2137,5802,68.7,0.4137,344,73,0.0342,365,12956.5,494,28,822.48,35.5,26.23
2025-07-02,食品,直接访问,975,3040,73.1,0.3106,190,40,0.041,365,12956.5,494,28,822.48,35.5,26.23
2025-07-02,食品,直播,1394,3157,95.8,0.4334,197,47,0.0337,365,12956.5,494,28,822.48,35.5,26.23
2025-07-02,食品,自然搜索,3064,7011,65.0,0.4845,415,137,0.0447,365,12956.5,494,28,822.48,35.5,26.23
2025-07-03,服装,付费推广,2520,5971,111.6,0.4032,401,60,0.0238,231,27441.57,348,9,988.51,118.79,78.86
2025-07-03,服装,推荐,1696,3982,62.5,0.3199,300,49,0.0289,231,27441.57,348,9,988.51,118.79,78.86
2025-07-03,服装,直接访问,998,2533,110.4,0.4931,187,22,0.022,231,27441.57,348,9,988.51,118.79,78.86
